iter	RMSE
0	0.5167110427
1	0.4989832181
2	0.4827565422
3	0.467343596
4	0.4532679976
5	0.4398294567
6	0.4278323865
7	0.4163041454
8	0.4055556084
9	0.395951024
10	0.3874319299
11	0.3793866199
12	0.3714229159
13	0.3643139805
14	0.3573995804
15	0.3513806854
16	0.346052792
17	0.3411487102
18	0.3363418097
19	0.3319769339
20	0.3278080871
21	0.3241230682
22	0.3207585103
23	0.3175414983
24	0.3146246995
25	0.3116648509
26	0.309178154
27	0.3066310682
28	0.3041207408
29	0.3019487406
30	0.3001359824
31	0.2977675567
32	0.2955489567
33	0.293857776
34	0.2917291284
35	0.2902371793
36	0.2885609457
37	0.2866019809
38	0.2844785492
39	0.2828982198
40	0.2816735958
41	0.2804678298
42	0.2794440467
43	0.2778579642
44	0.2768353054
45	0.2752440851
46	0.2737214414
47	0.272849688
48	0.271662729
49	0.2703588787
50	0.2692396795
51	0.2683562802
52	0.2673977395
53	0.2665846073
54	0.2654565926
55	0.2648279206
56	0.2639357632
57	0.2634067016
58	0.262909231
59	0.2620389332
60	0.2612557612
61	0.260536528
62	0.2594065612
63	0.2588526193
64	0.258265001
65	0.2576077234
66	0.257201322
67	0.2567045286
68	0.2559455425
69	0.2550923885
70	0.2544043841
71	0.2540641418
72	0.2535809198
73	0.2532820781
74	0.253025491
75	0.2524860539
76	0.2520435256
77	0.2517261644
78	0.2513350375
79	0.2509962714
80	0.2504127535
81	0.2499943712
82	0.2495659813
83	0.2493285514
84	0.2489799622
85	0.2486800556
86	0.2483385623
87	0.2479950853
88	0.2476127619
89	0.2473297828
90	0.2467398956
91	0.2461510938
92	0.2459348644
93	0.2456025039
94	0.2453020933
95	0.2448952529
96	0.2446163214
97	0.2442611394
98	0.2440818
99	0.243751177
100	0.2432812312
101	0.2427920936
102	0.2425247223
103	0.2423429474
104	0.2419795063
105	0.2415938566
106	0.2411618707
107	0.2405944542
108	0.2403591266
109	0.2400502633
110	0.2395753007
111	0.2392675496
112	0.2388670237
113	0.2386071754
114	0.2383615283
115	0.2378098512
116	0.2375971265
117	0.2372923175
118	0.2369900817
119	0.2366473738
120	0.2364573929
121	0.2362367247
122	0.2360691573
123	0.2358749226
124	0.2355624986
125	0.2352711831
126	0.2350329659
127	0.2347586646
128	0.2344856588
129	0.2342414821
130	0.2340240688
131	0.2338091223
132	0.2336112851
133	0.2332758577
134	0.2330396968
135	0.2328422843
136	0.2324593088
137	0.2322134156
138	0.2318295714
139	0.2315042448
140	0.2311919343
141	0.2309630147
142	0.2307358367
143	0.2305023543
144	0.2303032754
145	0.2299570633
146	0.2296629178
147	0.2295043749
148	0.2290179454
149	0.2288784711
150	0.2286329212
151	0.2284162871
152	0.2281397462
153	0.2278659203
154	0.227609622
155	0.2274181507
156	0.2271691634
157	0.2268759976
158	0.2267242124
159	0.2264434217
160	0.2263240127
161	0.2261493844
162	0.2259534017
163	0.2258376186
164	0.2256865631
165	0.2255306129
166	0.2251830217
167	0.2248039712
168	0.2245423785
169	0.2242695864
170	0.2240253593
171	0.2237054601
172	0.2235683863
173	0.2233921486
174	0.2232538373
175	0.2230263936
176	0.2226273872
177	0.2224112274
178	0.2220477828
179	0.2218296694
180	0.2215386697
181	0.2212368304
182	0.2210117454
183	0.2206485736
184	0.2204052352
185	0.2201550312
186	0.2200147992
187	0.2197863632
188	0.2195678156
189	0.2193533797
190	0.2191283603
191	0.2189868266
192	0.218822291
193	0.2185864398
194	0.2184285187
195	0.2181692552
196	0.2179894417
197	0.2177585972
198	0.2174269785
199	0.2171967031
200	0.2170665485
201	0.2169220317
202	0.2166306357
203	0.2164039495
204	0.2162346278
205	0.2160512149
206	0.2158675555
207	0.2157094248
208	0.215490437
209	0.2152833577
210	0.2150807085
211	0.2148123715
212	0.2146945784
213	0.214560837
214	0.2143304077
215	0.2140656669
216	0.2139045179
217	0.2138185119
218	0.2137247376
219	0.2135623597
220	0.2132995648
221	0.2131768735
222	0.2129442777
223	0.2128230128
224	0.2126759107
225	0.2124519056
226	0.212250146
227	0.2120611302
228	0.2118694246
229	0.2117374462
230	0.2115002643
231	0.2112738709
232	0.2111229282
233	0.2110174726
234	0.2108652893
235	0.2107122308
236	0.2105588464
237	0.2103541849
238	0.2101855306
239	0.210029619
240	0.2098557193
241	0.2096559337
242	0.2094974473
243	0.2093431531
244	0.209219078
245	0.2090463201
246	0.2088587928
247	0.2087353651
248	0.2086446272
249	0.2084282192
250	0.2083451361
251	0.2081926567
252	0.2080290939
253	0.2079454546
254	0.2077797451
255	0.207588034
256	0.2075023253
257	0.2073383578
258	0.2071637418
259	0.2070221307
260	0.2068887828
261	0.2067990923
262	0.2066691688
263	0.2065241585
264	0.2064095355
265	0.2062858727
266	0.206157215
267	0.2059880152
268	0.2058772833
269	0.2057401907
270	0.2055684433
271	0.2053939673
272	0.2051977817
273	0.2050522551
274	0.2048265982
275	0.2046937563
276	0.2046050377
277	0.2044445707
278	0.2043417581
279	0.2041635535
280	0.2040900934
281	0.2039689242
282	0.2038639567
283	0.2037977516
284	0.2036801094
285	0.2035457235
286	0.2033427196
287	0.2031960377
288	0.2030442704
289	0.2028792719
290	0.2028027407
291	0.2026983251
292	0.2026074094
293	0.2024963929
294	0.2023858022
295	0.2022723624
296	0.2020854816
297	0.2019039404
298	0.2017495666
299	0.2015715807
300	0.2014458441
301	0.2013341691
302	0.2011885295
303	0.2011064781
304	0.200951423
305	0.2007972917
306	0.2005829432
307	0.2004428851
308	0.2003551329
309	0.2002666037
310	0.2001669099
311	0.1999862581
312	0.1999008941
313	0.1997276558
314	0.1996114519
315	0.1994575201
316	0.1992955
317	0.1991915144
318	0.1990688044
319	0.1989945799
320	0.1988782124
321	0.1987718986
322	0.1986564308
323	0.1985042553
324	0.1983460612
325	0.1982013011
326	0.1981109606
327	0.197951848
328	0.1978362577
329	0.1977502654
330	0.1976086799
331	0.1975432178
332	0.1974169476
333	0.1972455525
334	0.1971372734
335	0.1970089899
336	0.1969321755
337	0.1968267431
338	0.1966942979
339	0.1965943186
340	0.1964529526
341	0.1963707953
342	0.1962452968
343	0.1961167177
344	0.1960263837
345	0.1959030929
346	0.1958188441
347	0.1956768012
348	0.1955365288
349	0.1954343259
350	0.1953312855
351	0.1952571035
352	0.1951449559
353	0.1950704852
354	0.1949695411
355	0.1948283966
356	0.1946878211
357	0.1944577502
358	0.1943109571
359	0.1941971999
360	0.194133992
361	0.1940259159
362	0.1938902834
363	0.1937939638
364	0.1937254298
365	0.1936235128
366	0.1935331068
367	0.1934746868
368	0.1933476175
369	0.1932005305
370	0.1931253742
371	0.1929905164
372	0.1928555645
373	0.1927821296
374	0.1926407137
375	0.1925074606
376	0.1924225329
377	0.1923604376
378	0.19228245
379	0.1922117741
380	0.1921380848
381	0.1920359058
382	0.1919057927
383	0.1917792938
384	0.1916604993
385	0.1915365948
386	0.1914402235
387	0.1913682817
388	0.1912968694
389	0.1912139018
390	0.191124879
391	0.1910269464
392	0.1909170936
393	0.190820021
394	0.1907051999
395	0.1906033984
396	0.1904957744
397	0.1904022124
398	0.1902897294
399	0.1902339363
400	0.1901437197
401	0.1900048272
402	0.1899029791
403	0.1898304645
404	0.189686404
405	0.1895181361
406	0.1894491885
407	0.189366249
408	0.1892644379
409	0.1891657587
410	0.1890995902
411	0.1888671476
412	0.1887866551
413	0.1886610256
414	0.1885609376
415	0.1884814063
416	0.188409784
417	0.1882958492
418	0.1882074749
419	0.188132555
420	0.1880491461
421	0.1879340501
422	0.1878598459
423	0.1878153988
424	0.1877552239
425	0.1876385993
426	0.1875103189
427	0.1874054659
428	0.1873206618
429	0.1872233282
430	0.1871117489
431	0.1870207134
432	0.1869134592
433	0.1867555517
434	0.1866581921
435	0.1865488303
436	0.1864781046
437	0.1863766702
438	0.1862969568
439	0.1861846767
440	0.1861035069
441	0.1859954375
442	0.1859166321
443	0.1858355659
444	0.1857294421
445	0.1856283592
446	0.1855266479
447	0.1854364901
448	0.1853395197
449	0.1852580106
450	0.1851445733
451	0.1850219277
452	0.1848700689
453	0.1847933701
454	0.1846999492
455	0.1846079447
456	0.1845497579
457	0.1844685265
458	0.1843741888
459	0.1842819022
460	0.184198883
461	0.1841034764
462	0.1840199588
463	0.1839411691
464	0.1838798422
465	0.1837306033
466	0.1836414206
467	0.1835590038
468	0.1834561009
469	0.1833594473
470	0.1832751167
471	0.1832245885
472	0.1831302491
473	0.1830400645
474	0.1829578902
475	0.1828611174
476	0.1827768358
477	0.1826645404
478	0.182618512
479	0.1825730978
480	0.1825075247
481	0.1824362096
482	0.1823705791
483	0.1822871957
484	0.182149969
485	0.1820521742
486	0.1819691137
487	0.1818997048
488	0.1818231658
489	0.1817199184
490	0.1816690719
491	0.1815871676
492	0.1814798503
493	0.1814233734
494	0.1813447439
495	0.181280507
496	0.1811989727
497	0.1811106859
498	0.1810472021
499	0.1809525649
500	0.1808962654
501	0.1808135396
502	0.1807426089
503	0.1806580911
504	0.1805719491
505	0.1804588738
506	0.1804089767
507	0.1803229726
508	0.180252117
509	0.1801900553
510	0.1801455198
511	0.1800569496
512	0.1799669129
513	0.1798986659
514	0.1798136934
515	0.1797446713
516	0.1796513303
517	0.1795848303
518	0.1795268381
519	0.1794557968
520	0.179363372
521	0.1792914068
522	0.1792104948
523	0.1790920076
524	0.1790145136
525	0.1789226997
526	0.1788348063
527	0.1787699179
528	0.1787163255
529	0.1786708303
530	0.1786170105
531	0.1785467543
532	0.1784611019
533	0.1784147382
534	0.17833695
535	0.1782618819
536	0.1781783289
537	0.1781110356
538	0.1780382968
539	0.1779826498
540	0.1778841117
541	0.1777909438
542	0.177726718
543	0.1776520011
544	0.1775288677
545	0.1774766065
546	0.1773890311
547	0.1773188643
548	0.177233987
549	0.1771267546
550	0.1770663012
551	0.1769929914
552	0.1769213169
553	0.1768382669
554	0.176774442
555	0.1766816205
556	0.1766175264
557	0.1764378276
558	0.1763667827
559	0.1763157255
560	0.1762306392
561	0.1761772658
562	0.1761276023
563	0.1760482103
564	0.1759960269
565	0.1759567531
566	0.1758708826
567	0.1757369708
568	0.1756638482
569	0.1756144338
570	0.1755527144
571	0.1754941706
572	0.1753999681
573	0.1753200393
574	0.1752635682
575	0.175171168
576	0.1750928099
577	0.1750360098
578	0.1749631582
579	0.1748912351
580	0.1748220031
581	0.1747449408
582	0.1746665982
583	0.1745343538
584	0.1744429322
585	0.1743771657
586	0.1742997619
587	0.174222525
588	0.1741709779
589	0.1741134815
590	0.174046862
591	0.1739709219
592	0.1739163782
593	0.1738780408
594	0.1738026586
595	0.1737472291
596	0.1736942146
597	0.1736221925
598	0.173576579
599	0.1735170641
600	0.173441042
601	0.173351562
602	0.1733002761
603	0.1732511539
604	0.173172646
605	0.1730187725
606	0.1729549119
607	0.1729137425
608	0.1728635325
609	0.1728144504
610	0.1727391963
611	0.172672955
612	0.1725917318
613	0.1725460175
614	0.172497105
615	0.17240888
616	0.1723348329
617	0.1722624693
618	0.1722096888
619	0.1721297458
620	0.1720418824
621	0.1719632029
622	0.1719001755
623	0.1718414605
624	0.1717762505
625	0.1717255543
626	0.1716608238
627	0.171617463
628	0.1715288089
629	0.171474698
630	0.1714257769
631	0.171377974
632	0.1712911771
633	0.1712206875
634	0.1711463476
635	0.1710652667
636	0.171024964
637	0.1709636385
638	0.170914088
639	0.1708780135
640	0.1707807202
641	0.170727569
642	0.170656239
643	0.1705963691
644	0.1705187478
645	0.1704703791
646	0.1704132462
647	0.1703256721
648	0.170281729
649	0.1702320962
650	0.1701476106
651	0.1700868489
652	0.1700334223
653	0.1700077817
654	0.1699374586
655	0.1698587489
656	0.1698139872
657	0.1697598891
658	0.1696806633
659	0.1696259745
660	0.1695733455
661	0.1694863571
662	0.1694006896
663	0.1693176161
664	0.1692563334
665	0.1692042928
666	0.1691394933
667	0.1690440749
668	0.1690150197
669	0.1689330392
670	0.1688482181
671	0.1688057126
672	0.1687338187
673	0.1686754831
674	0.1686302384
675	0.1685782758
676	0.1684960802
677	0.1684238967
678	0.1683556398
679	0.1682892535
680	0.1682354565
681	0.1682004159
682	0.1681543766
683	0.1680984514
684	0.1680109495
685	0.1679735041
686	0.1679369408
687	0.1678752776
688	0.1678138524
689	0.1677213969
690	0.1676218451
691	0.1675779101
692	0.1675318216
693	0.1674577076
694	0.1674224179
695	0.167388532
696	0.167300291
697	0.1672327245
698	0.1671978205
699	0.1671420972
700	0.1670574373
701	0.1669974534
702	0.1669621033
703	0.1669013137
