iter	Passed	Remaining
0	2	2722
1	5	2676
2	7	2548
3	10	2661
4	13	2590
5	15	2546
6	17	2545
7	20	2516
8	22	2497
9	25	2506
10	27	2491
11	30	2504
12	32	2497
13	35	2478
14	37	2493
15	40	2483
16	43	2498
17	45	2487
18	47	2472
19	50	2475
20	52	2464
21	55	2449
22	57	2445
23	59	2435
24	62	2436
25	64	2426
26	67	2419
27	69	2425
28	72	2418
29	74	2412
30	77	2408
31	79	2400
32	81	2396
33	84	2390
34	86	2381
35	89	2386
36	91	2383
37	93	2375
38	96	2377
39	98	2369
40	100	2361
41	103	2358
42	105	2352
43	108	2350
44	110	2342
45	112	2335
46	115	2336
47	117	2331
48	119	2326
49	122	2330
50	125	2326
51	127	2326
52	130	2327
53	133	2332
54	136	2341
55	139	2343
56	142	2354
57	145	2358
58	148	2364
59	150	2364
60	153	2365
61	156	2370
62	159	2371
63	162	2383
64	165	2383
65	169	2404
66	172	2400
67	175	2405
68	178	2404
69	181	2412
70	184	2410
71	186	2410
72	189	2404
73	191	2400
74	194	2402
75	197	2398
76	201	2413
77	204	2420
78	208	2429
79	211	2430
80	215	2448
81	218	2451
82	222	2457
83	225	2460
84	228	2463
85	232	2465
86	235	2469
87	238	2471
88	241	2476
89	245	2477
90	248	2479
91	250	2476
92	254	2477
93	256	2476
94	260	2478
95	262	2475
96	266	2476
97	268	2473
98	271	2469
99	274	2468
100	276	2465
101	280	2466
102	282	2461
103	285	2460
104	288	2457
105	291	2454
106	293	2453
107	296	2449
108	299	2451
109	302	2446
110	305	2447
111	308	2444
112	310	2441
113	313	2439
114	316	2435
115	319	2435
116	322	2431
117	325	2431
118	328	2429
119	331	2427
120	333	2425
121	336	2421
122	339	2419
123	341	2415
124	345	2416
125	348	2415
126	351	2415
127	354	2412
128	356	2409
129	359	2407
130	362	2405
131	365	2404
132	368	2400
133	371	2400
134	374	2396
135	377	2396
136	379	2392
137	382	2388
138	385	2387
139	388	2384
140	391	2383
141	394	2380
142	397	2380
143	399	2376
144	403	2378
145	406	2375
146	408	2372
147	411	2368
